ID         ,UserID     ,FullName                                                                                                                                                                                                                                                       ,Age        ,Email                                                                                                                                                                                                                                                          ,RegistrationDate,LastLoginDate   ,PurchaseTotal           ,RecordLastUpdated      
25,125,Oscar Holt                                                                                                                                                                                                                                                     ,29,oscarholt@example.com                                                                                                                                                                                                                                          ,      2022-11-11,      2023-02-13,175.45,26-07-2024 10:03:45
26,126,Patty Jolt                                                                                                                                                                                                                                                     ,31,pattyjolt@example.com                                                                                                                                                                                                                                          ,      2018-12-13,      2023-02-12,185.9,26-07-2024 10:03:45
27,127,Quincy Molt                                                                                                                                                                                                                                                    ,34,quincymolt@example.com                                                                                                                                                                                                                                         ,      2020-04-17,      2023-02-11,195.25,26-07-2024 10:03:45
28,128,Rita Bolt                                                                                                                                                                                                                                                      ,36,ritabolt@example.com                                                                                                                                                                                                                                           ,      2021-08-21,      2023-02-10,210.50,26-07-2024 10:03:45
29,129,Steve Jolt                                                                                                                                                                                                                                                     ,38,stevejolt@example.com                                                                                                                                                                                                                                          ,      2019-01-01,      2023-02-09,225.75,26-07-2024 10:03:45
30,130,Invalid Date                                                                                                                                                                                                                                                   ,29,invaliddatetest@example.com                                                                                                                                                                                                                                    ,      2001-01-01,      2023-02-08,180.00,26-07-2024 10:03:45
31,131,Special Characters Name                                                                                                                                                                                                                                        ,34,special$$name@example.com                                                                                                                                                                                                                                      ,      2021-04-17,      2023-02-07,200.50,26-07-2024 10:03:45
32,132,Old Format                                                                                                                                                                                                                                                     ,30,oldformat@example.com                                                                                                                                                                                                                                          ,      2019-05-07,      2023-06-02,150.50,26-07-2024 10:03:45
33,133,Future Date                                                                                                                                                                                                                                                    ,25,futuredate@example.com                                                                                                                                                                                                                                         ,      2024-01-01,      2024-07-25,160.00,26-07-2024 10:03:45
34,134,Negative Age                                                                                                                                                                                                                                                   ,0,negativeage@example.com                                                                                                                                                                                                                                        ,      2021-08-15,      2023-02-04,130.00,26-07-2024 10:03:45
35,135,Very Old Date                                                                                                                                                                                                                                                  ,90,veryolddate@example.com                                                                                                                                                                                                                                        ,      2001-01-01,      2023-02-03,100.00,26-07-2024 10:03:45
36,136,Extra Large Total                                                                                                                                                                                                                                              ,27,extralargetotal@example.com                                                                                                                                                                                                                                    ,      2020-10-10,      2023-02-02,0.00,26-07-2024 10:03:45
37,137,Incorrect Email                                                                                                                                                                                                                                                ,28,NA                                                                                                                                                                                                                                                             ,      2021-11-11,      2023-02-01,190.00,26-07-2024 10:03:45
38,138,Duplicate ID                                                                                                                                                                                                                                                   ,27,duplicateid@example.com                                                                                                                                                                                                                                        ,      2019-03-15,      2023-01-31,200.00,26-07-2024 10:03:45
,,,,,,,,
(38 rows affected),,,,,,,,
